Ranking,Organization,Model,"Dataset Score (N=1,523)",Market Score (resolved) (N=190),Market Score (unresolved) (N=106),Market Score (overall) (N=296),"Overall Resolved Score (N=1,713)","Overall Score (N=1,819)",Overall Score 95% CI,Pairwise p-value comparing to No. 1 (bootstrapped),Pct. more accurate than No. 1,Pct. Imputed
40,Google,Gemini-1.5-Flash (scratchpad),0.179,0.183,0.116,0.159,0.181,0.169,[0.158 0.18 ],<0.001,16%,0%
41,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),0.209,0.146,0.098,0.129,0.177,0.169,[0.158 0.18 ],<0.001,17%,0%
42,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),0.201,0.161,0.096,0.138,0.181,0.169,[0.158 0.18 ],<0.001,18%,8%
43,Meta,Llama-3-70b-Chat-Hf (scratchpad with freeze values),0.211,0.152,0.084,0.128,0.181,0.169,[0.159 0.18 ],<0.001,17%,0%
44,Anthropic,Claude-3-Opus-20240229 (zero shot),0.176,0.2,0.098,0.164,0.188,0.17,[0.156 0.183],<0.001,18%,0%
45,Google,Gemini-1.5-Flash (zero shot with freeze values),0.22,0.145,0.075,0.12,0.183,0.17,[0.156 0.185],<0.001,23%,0%
46,Qwen,Qwen1.5-110B-Chat (scratchpad with news with freeze values),0.199,0.168,0.1,0.144,0.184,0.172,[0.161 0.182],<0.001,17%,0%
47,Anthropic,Claude-2.1 (scratchpad with freeze values),0.227,0.145,0.073,0.119,0.186,0.173,[0.161 0.185],<0.001,21%,20%
48,OpenAI,GPT-4o (superforecaster with news 3),0.205,0.166,0.104,0.144,0.185,0.174,[0.164 0.185],<0.001,17%,5%
49,Anthropic,Claude-3-5-Sonnet-20240620 (zero shot),0.18,0.193,0.126,0.169,0.187,0.175,[0.16  0.189],<0.001,17%,1%
50,Mistral AI,Mistral-Large-Latest (zero shot with freeze values),0.209,0.179,0.079,0.143,0.194,0.176,[0.162 0.19 ],<0.001,20%,0%
51,OpenAI,GPT-4o (scratchpad with SECOND news),0.23,0.136,0.103,0.124,0.183,0.177,[0.166 0.188],<0.001,16%,8%
52,Qwen,Qwen1.5-110B-Chat (superforecaster with news 1),0.201,0.183,0.101,0.154,0.192,0.177,[0.166 0.189],<0.001,17%,13%
53,Mistral AI,Mistral-Large-Latest (scratchpad),0.187,0.193,0.126,0.169,0.19,0.178,[0.168 0.188],<0.001,15%,0%
54,Google,Gemini-1.5-Flash (scratchpad with news with freeze values),0.209,0.171,0.108,0.149,0.19,0.179,[0.166 0.192],<0.001,17%,0%
55,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),0.219,0.164,0.093,0.139,0.192,0.179,[0.168 0.19 ],<0.001,15%,1%
56,Anthropic,Claude-3-Opus-20240229 (scratchpad),0.189,0.205,0.107,0.17,0.197,0.18,[0.168 0.191],<0.001,17%,0%
57,OpenAI,GPT-4o (superforecaster with news 1),0.199,0.193,0.102,0.16,0.196,0.18,[0.166 0.194],<0.001,19%,0%
58,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad),0.201,0.192,0.102,0.16,0.197,0.18,[0.17  0.191],<0.001,16%,0%
59,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),0.204,0.188,0.103,0.157,0.196,0.18,[0.168 0.193],<0.001,18%,15%
60,Qwen,Qwen1.5-110B-Chat (scratchpad with news),0.199,0.187,0.117,0.162,0.193,0.181,[0.17  0.191],<0.001,16%,0%
61,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with freeze values),0.201,0.184,0.118,0.161,0.193,0.181,[0.168 0.194],<0.001,16%,0%
62,Meta,Llama-3-70b-Chat-Hf (zero shot),0.204,0.185,0.116,0.16,0.195,0.182,[0.171 0.193],<0.001,16%,0%
63,OpenAI,GPT-4o (zero shot with freeze values),0.213,0.171,0.116,0.151,0.192,0.182,[0.167 0.198],<0.001,21%,1%
64,Google,Gemini-1.5-Flash (superforecaster with news 2),0.219,0.16,0.127,0.148,0.189,0.183,[0.172 0.195],<0.001,18%,11%
65,OpenAI,GPT-4o (zero shot),0.213,0.193,0.087,0.155,0.203,0.184,[0.171 0.198],<0.001,18%,3%
66,Qwen,Qwen1.5-110B-Chat (superforecaster with news 3),0.211,0.188,0.107,0.159,0.199,0.185,[0.175 0.194],<0.001,16%,4%
67,Google,Gemini-1.5-Flash (scratchpad with news),0.209,0.185,0.118,0.161,0.197,0.185,[0.174 0.196],<0.001,17%,0%
68,Anthropic,Claude-3-Opus-20240229 (scratchpad with news with freeze values),0.206,0.195,0.109,0.164,0.201,0.185,[0.173 0.197],<0.001,16%,0%
69,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),0.202,0.201,0.112,0.169,0.201,0.185,[0.173 0.198],<0.001,17%,1%
70,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),0.2,0.211,0.102,0.172,0.205,0.186,[0.174 0.198],<0.001,16%,7%
71,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 3),0.199,0.204,0.123,0.175,0.201,0.187,[0.175 0.199],<0.001,16%,5%
72,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),0.206,0.199,0.118,0.17,0.202,0.188,[0.177 0.199],<0.001,16%,0%
73,Qwen,Qwen1.5-110B-Chat (zero shot with freeze values),0.219,0.192,0.095,0.158,0.206,0.188,[0.173 0.203],<0.001,17%,1%
74,Meta,Llama-3-8b-Chat-Hf (zero shot with freeze values),0.225,0.159,0.143,0.154,0.192,0.189,[0.175 0.204],<0.001,19%,0%
75,Anthropic,Claude-2.1 (scratchpad with news),0.232,0.178,0.093,0.147,0.205,0.19,[0.178 0.202],<0.001,18%,16%
76,Anthropic,Claude-2.1 (scratchpad with news with freeze values),0.232,0.18,0.093,0.149,0.206,0.191,[0.179 0.203],<0.001,18%,11%
77,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot with freeze values),0.213,0.192,0.129,0.169,0.202,0.191,[0.176 0.206],<0.001,20%,0%
78,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),0.213,0.199,0.115,0.169,0.206,0.191,[0.178 0.204],<0.001,16%,0%
79,Meta,Llama-3-70b-Chat-Hf (scratchpad),0.211,0.204,0.117,0.173,0.208,0.192,[0.183 0.201],<0.001,16%,0%
80,Google,Gemini-1.5-Pro (superforecaster with news 1),0.209,0.216,0.105,0.176,0.213,0.193,[0.18  0.206],<0.001,18%,3%
81,Qwen,Qwen1.5-110B-Chat (zero shot),0.219,0.199,0.11,0.167,0.209,0.193,[0.182 0.204],<0.001,15%,1%
82,OpenAI,GPT-4 (zero shot),0.213,0.209,0.116,0.176,0.211,0.194,[0.183 0.205],<0.001,16%,0%
83,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),0.229,0.195,0.102,0.162,0.212,0.195,[0.185 0.205],<0.001,15%,12%
84,Google,Gemini-1.5-Flash (superforecaster with news 3),0.222,0.194,0.123,0.169,0.208,0.195,[0.184 0.206],<0.001,15%,8%
85,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),0.229,0.196,0.101,0.162,0.212,0.195,[0.186 0.205],<0.001,15%,0%
86,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),0.232,0.185,0.119,0.162,0.209,0.197,[0.184 0.21 ],<0.001,17%,17%
87,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad),0.238,0.178,0.117,0.156,0.208,0.197,[0.185 0.208],<0.001,19%,13%
88,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),0.212,0.217,0.128,0.185,0.214,0.198,[0.185 0.211],<0.001,16%,1%
89,Mistral AI,Mistral-Large-Latest (zero shot),0.209,0.21,0.149,0.188,0.21,0.199,[0.186 0.212],<0.001,16%,0%
90,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with freeze values),0.229,0.206,0.106,0.17,0.217,0.2,[0.188 0.211],<0.001,16%,0%
91,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot),0.213,0.22,0.141,0.192,0.216,0.202,[0.188 0.216],<0.001,16%,0%
92,Meta,Llama-3-8b-Chat-Hf (zero shot),0.225,0.196,0.158,0.182,0.211,0.204,[0.188 0.219],<0.001,18%,0%
93,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot with freeze values),0.257,0.177,0.104,0.151,0.217,0.204,[0.188 0.22 ],<0.001,24%,0%
94,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with freeze values),0.238,0.199,0.136,0.176,0.218,0.207,[0.193 0.221],<0.001,19%,11%
95,Google,Gemini-1.5-Flash (zero shot),0.22,0.21,0.166,0.194,0.215,0.207,[0.193 0.222],<0.001,18%,1%
96,Anthropic,Claude-2.1 (superforecaster with news 2),0.263,0.187,0.101,0.156,0.225,0.209,[0.195 0.223],<0.001,20%,23%
97,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),0.266,0.163,0.134,0.153,0.215,0.21,[0.198 0.221],<0.001,18%,18%
98,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),0.245,0.204,0.127,0.176,0.224,0.211,[0.196 0.225],<0.001,19%,7%
99,Mistral AI,Mistral-Large-Latest (scratchpad with news with freeze values),0.241,0.206,0.134,0.18,0.223,0.211,[0.199 0.222],<0.001,15%,0%
100,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),0.244,0.215,0.112,0.178,0.229,0.211,[0.201 0.221],<0.001,16%,1%
101,Qwen,Qwen1.5-110B-Chat (superforecaster with news 2),0.238,0.223,0.115,0.185,0.231,0.212,[0.2   0.223],<0.001,16%,4%
102,Google,Gemini-1.5-Pro (superforecaster with news 2),0.249,0.206,0.121,0.175,0.228,0.212,[0.197 0.227],<0.001,19%,0%
103,OpenAI,GPT-4o (superforecaster with news 2),0.253,0.206,0.116,0.174,0.229,0.213,[0.199 0.227],<0.001,18%,5%
104,Mistral AI,Mistral-Large-Latest (scratchpad with news),0.241,0.214,0.133,0.185,0.228,0.213,[0.202 0.224],<0.001,15%,0%
105,Anthropic,Claude-2.1 (zero shot with freeze values),0.243,0.21,0.139,0.184,0.226,0.214,[0.197 0.23 ],<0.001,18%,0%
106,Anthropic,Claude-2.1 (superforecaster with news 3),0.255,0.215,0.108,0.177,0.235,0.216,[0.203 0.228],<0.001,19%,9%
107,Google,Gemini-1.5-Flash (superforecaster with news 1),0.234,0.231,0.147,0.201,0.232,0.217,[0.203 0.231],<0.001,15%,17%
108,Anthropic,Claude-2.1 (superforecaster with news 1),0.271,0.199,0.102,0.164,0.235,0.217,[0.204 0.231],<0.001,20%,24%
109,Mistral AI,Mistral-Large-Latest (superforecaster with news 2),0.229,0.239,0.166,0.213,0.234,0.221,[0.207 0.235],<0.001,15%,8%
110,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news with freeze values),0.289,0.166,0.148,0.159,0.227,0.224,[0.212 0.236],<0.001,18%,15%
111,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),0.293,0.173,0.124,0.155,0.233,0.224,[0.211 0.238],<0.001,18%,19%
112,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),0.289,0.182,0.127,0.162,0.235,0.226,[0.213 0.238],<0.001,17%,16%
113,Mistral AI,Mistral-Large-Latest (superforecaster with news 1),0.248,0.23,0.159,0.205,0.239,0.226,[0.212 0.24 ],<0.001,15%,22%
114,Anthropic,Claude-2.1 (zero shot),0.243,0.239,0.157,0.21,0.241,0.226,[0.214 0.239],<0.001,15%,0%
115,Mistral AI,Mistral-Large-Latest (superforecaster with news 3),0.269,0.213,0.141,0.187,0.241,0.228,[0.216 0.24 ],<0.001,15%,4%
116,ForecastBench,Always 0.5,0.25,0.25,0.133,0.208,0.25,0.229,[0.225 0.233],<0.001,14%,0%
117,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),0.288,0.192,0.134,0.172,0.24,0.23,[0.216 0.243],<0.001,20%,22%
118,Meta,Llama-2-70b-Chat-Hf (scratchpad with freeze values),0.263,0.232,0.137,0.198,0.247,0.23,[0.22  0.241],<0.001,16%,1%
119,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.257,0.232,0.16,0.206,0.244,0.232,[0.214 0.249],<0.001,19%,0%
120,Meta,Llama-3-8b-Chat-Hf (scratchpad with freeze values),0.273,0.22,0.14,0.191,0.246,0.232,[0.22  0.244],<0.001,15%,0%
121,Meta,Llama-2-70b-Chat-Hf (scratchpad),0.263,0.248,0.141,0.209,0.255,0.236,[0.226 0.246],<0.001,16%,1%
122,Anthropic,Claude-3-Haiku-20240307 (zero shot with freeze values),0.284,0.222,0.129,0.189,0.253,0.236,[0.223 0.249],<0.001,16%,1%
123,Anthropic,Claude-3-Haiku-20240307 (scratchpad with freeze values),0.274,0.245,0.144,0.209,0.259,0.241,[0.23  0.253],<0.001,14%,1%
124,Meta,Llama-3-8b-Chat-Hf (scratchpad),0.273,0.245,0.15,0.211,0.259,0.242,[0.231 0.253],<0.001,16%,0%
125,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),0.263,0.272,0.139,0.224,0.267,0.244,[0.232 0.255],<0.001,15%,4%
126,Anthropic,Claude-3-Haiku-20240307 (scratchpad),0.274,0.26,0.14,0.217,0.267,0.245,[0.236 0.255],<0.001,15%,1%
127,ForecastBench,Always 0,0.272,0.221,0.221,0.221,0.246,0.246,[0.222 0.271],<0.001,45%,0%
128,Anthropic,Claude-3-Haiku-20240307 (zero shot),0.284,0.25,0.142,0.211,0.267,0.247,[0.237 0.258],<0.001,15%,1%
129,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news with freeze values),0.302,0.249,0.128,0.205,0.275,0.253,[0.243 0.264],<0.001,14%,0%
130,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 3),0.287,0.255,0.16,0.221,0.271,0.254,[0.244 0.264],<0.001,14%,15%
131,OpenAI,GPT-3.5-Turbo-0125 (scratchpad with freeze values),0.283,0.266,0.171,0.232,0.274,0.257,[0.247 0.268],<0.001,14%,0%
132,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),0.302,0.26,0.139,0.216,0.281,0.259,[0.249 0.269],<0.001,15%,1%
133,OpenAI,GPT-3.5-Turbo-0125 (scratchpad),0.283,0.289,0.166,0.245,0.286,0.264,[0.253 0.275],<0.001,15%,0%
134,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),0.29,0.32,0.171,0.267,0.305,0.278,[0.265 0.292],<0.001,15%,6%
135,Meta,Llama-2-70b-Chat-Hf (zero shot with freeze values),0.308,0.284,0.195,0.252,0.296,0.28,[0.263 0.297],<0.001,17%,0%
136,Meta,Llama-2-70b-Chat-Hf (zero shot),0.308,0.334,0.191,0.283,0.321,0.295,[0.282 0.309],<0.001,16%,1%
137,ForecastBench,Random Uniform,0.342,0.308,0.197,0.268,0.325,0.305,[0.287 0.323],<0.001,18%,0%
138,OpenAI,GPT-3.5-Turbo-0125 (zero shot with freeze values),0.445,0.253,0.178,0.226,0.349,0.336,[0.317 0.354],<0.001,21%,0%
139,OpenAI,GPT-3.5-Turbo-0125 (zero shot),0.445,0.315,0.21,0.277,0.38,0.361,[0.345 0.378],<0.001,17%,0%
140,ForecastBench,Always 1,0.728,0.779,0.545,0.695,0.754,0.712,[0.685 0.738],<0.001,20%,0%
