Ranking,Organization,Model,Dataset Score (N=316),Market Score (resolved) (N=21),Market Score (unresolved) (N=56),Market Score (overall) (N=77),Overall Resolved Score (N=337),Overall Score (N=393),Overall Score 95% CI,Pairwise p-value comparing to No. 1 (bootstrapped),Pct. more accurate than No. 1,Pct. Imputed
22,Meta,Llama-3-70b-Chat-Hf (scratchpad with freeze values),0.189,0.128,0.082,0.095,0.159,0.142,[0.126 0.158],<0.001,25%,0%
23,Google,Gemini-1.5-Pro (scratchpad),0.168,0.216,0.079,0.116,0.192,0.142,[0.124 0.16 ],<0.001,23%,0%
24,Google,Gemini-1.5-Pro (scratchpad with freeze values),0.168,0.201,0.084,0.116,0.185,0.142,[0.124 0.16 ],<0.001,23%,0%
25,Google,Gemini-1.5-Pro (scratchpad with news with freeze values),0.172,0.152,0.098,0.113,0.162,0.142,[0.123 0.161],<0.001,22%,0%
26,OpenAI,GPT-4 (scratchpad with freeze values),0.178,0.164,0.086,0.107,0.171,0.143,[0.124 0.162],<0.001,21%,0%
27,Meta,Llama-3-70b-Chat-Hf (zero shot with freeze values),0.181,0.193,0.071,0.105,0.187,0.143,[0.118 0.168],<0.001,26%,0%
28,Anthropic,Claude-3-Opus-20240229 (scratchpad),0.163,0.202,0.095,0.124,0.183,0.144,[0.126 0.161],<0.001,22%,0%
29,OpenAI,GPT-4-Turbo-2024-04-09 (zero shot),0.17,0.216,0.081,0.118,0.193,0.144,[0.125 0.163],<0.001,22%,0%
30,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 1),0.161,0.218,0.094,0.128,0.19,0.144,[0.124 0.165],<0.001,23%,0%
31,Anthropic,Claude-2.1 (scratchpad with freeze values),0.213,0.049,0.087,0.077,0.131,0.145,[0.128 0.162],<0.001,26%,23%
32,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad),0.179,0.193,0.08,0.111,0.186,0.145,[0.129 0.161],<0.001,23%,0%
33,Google,Gemini-1.5-Flash (zero shot with freeze values),0.183,0.223,0.063,0.107,0.203,0.145,[0.118 0.172],<0.001,24%,0%
34,Google,Gemini-1.5-Pro (scratchpad with news),0.172,0.149,0.108,0.119,0.16,0.145,[0.127 0.164],<0.001,22%,0%
35,OpenAI,GPT-4o (zero shot with freeze values),0.201,0.174,0.059,0.091,0.187,0.146,[0.121 0.17 ],<0.001,28%,0%
36,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with freeze values),0.183,0.193,0.076,0.108,0.188,0.146,[0.129 0.163],<0.001,21%,0%
37,Google,Gemini-1.5-Pro (zero shot with freeze values),0.186,0.216,0.065,0.106,0.201,0.146,[0.12  0.172],<0.001,25%,0%
38,Qwen,Qwen1.5-110B-Chat (zero shot with freeze values),0.195,0.164,0.072,0.097,0.18,0.146,[0.125 0.167],<0.001,22%,0%
39,OpenAI,GPT-4 (scratchpad),0.178,0.177,0.093,0.116,0.178,0.147,[0.132 0.162],<0.001,18%,0%
40,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),0.188,0.12,0.104,0.108,0.154,0.148,[0.126 0.17 ],<0.001,26%,0%
41,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot with freeze values),0.189,0.191,0.081,0.111,0.19,0.15,[0.124 0.176],<0.001,26%,0%
42,Mistral AI,Mistral-Large-Latest (scratchpad),0.161,0.22,0.114,0.143,0.19,0.152,[0.134 0.169],<0.001,22%,0%
43,OpenAI,GPT-4 (zero shot),0.164,0.186,0.124,0.141,0.175,0.152,[0.134 0.17 ],<0.001,24%,0%
44,Anthropic,Claude-2.1 (scratchpad),0.213,0.103,0.088,0.092,0.158,0.152,[0.134 0.171],<0.001,23%,23%
45,ForecastBench,Imputed Forecaster,0.25,0.072,0.05,0.056,0.161,0.153,[0.136 0.17 ],<0.001,28%,100%
46,Qwen,Qwen1.5-110B-Chat (scratchpad with freeze values),0.193,0.19,0.089,0.116,0.191,0.154,[0.137 0.172],<0.001,20%,0%
47,Anthropic,Claude-2.1 (zero shot with freeze values),0.22,0.161,0.063,0.09,0.191,0.155,[0.133 0.177],<0.001,27%,0%
48,Qwen,Qwen1.5-110B-Chat (scratchpad with news with freeze values),0.185,0.183,0.104,0.126,0.184,0.155,[0.137 0.174],<0.001,22%,0%
49,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with freeze values),0.197,0.157,0.1,0.115,0.177,0.156,[0.138 0.174],<0.001,23%,0%
50,OpenAI,GPT-4-Turbo-2024-04-09 (scratchpad with news),0.188,0.164,0.11,0.125,0.176,0.156,[0.136 0.177],<0.001,24%,0%
51,Google,Gemini-1.5-Pro (superforecaster with news 3),0.189,0.141,0.118,0.124,0.165,0.157,[0.138 0.176],<0.001,22%,0%
52,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),0.197,0.174,0.097,0.118,0.185,0.157,[0.14  0.174],<0.001,22%,0%
53,Anthropic,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),0.204,0.154,0.096,0.112,0.179,0.158,[0.139 0.177],<0.001,18%,0%
54,Google,Gemini-1.5-Flash (scratchpad with freeze values),0.206,0.166,0.09,0.111,0.186,0.158,[0.137 0.179],<0.001,20%,0%
55,OpenAI,GPT-4o (zero shot),0.201,0.193,0.087,0.116,0.197,0.158,[0.138 0.178],<0.001,21%,0%
56,OpenAI,GPT-4o (superforecaster with news 3),0.203,0.148,0.103,0.115,0.176,0.159,[0.14  0.178],<0.001,21%,6%
57,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (scratchpad),0.183,0.206,0.109,0.135,0.194,0.159,[0.142 0.177],<0.001,21%,0%
58,Anthropic,Claude-3-Opus-20240229 (zero shot),0.173,0.266,0.102,0.147,0.219,0.16,[0.135 0.185],<0.001,18%,0%
59,Qwen,Qwen1.5-110B-Chat (scratchpad with news),0.185,0.196,0.116,0.138,0.19,0.161,[0.143 0.18 ],<0.001,21%,0%
60,Mistral AI,Mistral-Large-Latest (zero shot),0.17,0.223,0.128,0.154,0.196,0.162,[0.137 0.186],<0.001,21%,0%
61,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 3),0.178,0.148,0.145,0.146,0.163,0.162,[0.141 0.183],<0.001,21%,6%
62,Anthropic,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),0.193,0.163,0.12,0.132,0.178,0.162,[0.14  0.185],<0.001,23%,0%
63,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad),0.202,0.121,0.125,0.124,0.162,0.163,[0.143 0.182],<0.001,27%,14%
64,Meta,Llama-3-8b-Chat-Hf (zero shot with freeze values),0.205,0.195,0.093,0.121,0.2,0.163,[0.139 0.188],<0.001,24%,0%
65,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot with freeze values),0.214,0.236,0.069,0.115,0.225,0.164,[0.135 0.194],<0.001,30%,0%
66,Meta,Llama-3-70b-Chat-Hf (zero shot),0.181,0.242,0.112,0.147,0.212,0.164,[0.144 0.185],<0.001,22%,0%
67,Anthropic,Claude-3-Opus-20240229 (scratchpad with news with freeze values),0.19,0.174,0.127,0.14,0.182,0.165,[0.144 0.185],<0.001,23%,0%
68,Qwen,Qwen1.5-110B-Chat (scratchpad),0.193,0.22,0.106,0.137,0.206,0.165,[0.147 0.183],<0.001,20%,0%
69,Qwen,Qwen1.5-110B-Chat (superforecaster with news 1),0.201,0.221,0.095,0.13,0.211,0.165,[0.142 0.188],<0.001,21%,0%
70,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),0.205,0.148,0.118,0.126,0.176,0.165,[0.145 0.186],<0.001,20%,11%
71,Google,Gemini-1.5-Flash (scratchpad with news with freeze values),0.212,0.182,0.097,0.12,0.197,0.166,[0.143 0.188],<0.001,22%,0%
72,Google,Gemini-1.5-Pro (zero shot),0.186,0.268,0.103,0.148,0.227,0.167,[0.14  0.194],<0.001,21%,0%
73,Meta,Llama-3-8b-Chat-Hf (scratchpad with freeze values),0.222,0.147,0.098,0.112,0.184,0.167,[0.152 0.181],<0.001,22%,0%
74,Mistral AI,Mistral-Large-Latest (scratchpad with news with freeze values),0.202,0.168,0.119,0.132,0.185,0.167,[0.147 0.188],<0.001,22%,0%
75,Qwen,Qwen1.5-110B-Chat (zero shot),0.195,0.216,0.112,0.14,0.205,0.167,[0.148 0.187],<0.001,16%,1%
76,OpenAI,GPT-4o (superforecaster with news 1),0.199,0.205,0.111,0.137,0.202,0.168,[0.142 0.194],<0.001,26%,0%
77,Anthropic,Claude-3-Opus-20240229 (scratchpad with news),0.19,0.157,0.143,0.147,0.173,0.168,[0.148 0.189],<0.001,22%,0%
78,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),0.206,0.191,0.11,0.132,0.199,0.169,[0.145 0.193],<0.001,21%,0%
79,Anthropic,Claude-2.1 (scratchpad with news with freeze values),0.213,0.138,0.121,0.125,0.176,0.169,[0.148 0.19 ],<0.001,21%,3%
80,Anthropic,Claude-3-Opus-20240229 (superforecaster with news 2),0.179,0.206,0.142,0.16,0.193,0.17,[0.146 0.194],<0.001,21%,0%
81,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) with news",0.232,0.161,0.089,0.108,0.197,0.17,[0.153 0.187],<0.001,16%,38%
82,Google,Gemini-1.5-Flash (scratchpad),0.206,0.191,0.114,0.135,0.199,0.17,[0.151 0.19 ],<0.001,18%,0%
83,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) with news",0.233,0.162,0.089,0.109,0.197,0.171,[0.154 0.188],<0.001,16%,38%
84,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) with news",0.233,0.157,0.091,0.109,0.195,0.171,[0.153 0.188],<0.001,17%,38%
85,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),0.218,0.146,0.118,0.126,0.182,0.172,[0.155 0.189],<0.001,15%,17%
86,Meta,Llama-3-8b-Chat-Hf (zero shot),0.205,0.255,0.096,0.139,0.23,0.172,[0.146 0.198],<0.001,24%,0%
87,OpenAI,GPT-4o (scratchpad with SECOND news),0.237,0.136,0.097,0.108,0.187,0.173,[0.155 0.19 ],<0.001,16%,2%
88,Google,Gemini-1.5-Pro (superforecaster with news 1),0.201,0.223,0.114,0.144,0.212,0.173,[0.15  0.195],<0.001,22%,0%
89,Google,Gemini-1.5-Flash (scratchpad with news),0.212,0.179,0.118,0.135,0.195,0.173,[0.152 0.195],<0.001,21%,0%
90,Google,Gemini-1.5-Flash (zero shot),0.183,0.246,0.134,0.164,0.214,0.174,[0.147 0.2  ],<0.001,20%,0%
91,Mistral AI,Mistral-Large-Latest (scratchpad with news),0.202,0.154,0.142,0.145,0.178,0.174,[0.154 0.194],<0.001,21%,0%
92,Anthropic,Claude-2.1 (scratchpad with news),0.213,0.188,0.114,0.134,0.201,0.174,[0.152 0.195],<0.001,21%,8%
93,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),0.197,0.213,0.128,0.151,0.205,0.174,[0.15  0.198],<0.001,21%,0%
94,Meta,Llama-3-70b-Chat-Hf (scratchpad),0.189,0.202,0.144,0.16,0.196,0.175,[0.158 0.191],<0.001,24%,0%
95,Mistral AI,Mistral-Large-Latest (superforecaster with news 1),0.208,0.232,0.117,0.148,0.22,0.178,[0.153 0.203],<0.001,22%,0%
96,OpenAI,GPT-4o (superforecaster with news 2),0.233,0.171,0.106,0.124,0.202,0.178,[0.154 0.202],<0.001,22%,1%
97,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (zero shot),0.189,0.288,0.123,0.168,0.239,0.179,[0.152 0.205],<0.001,20%,0%
98,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (zero shot),0.214,0.255,0.109,0.149,0.235,0.181,[0.153 0.21 ],<0.001,20%,0%
99,Mistral AI,Mistral-Large-Latest (superforecaster with news 2),0.205,0.231,0.133,0.16,0.218,0.183,[0.159 0.207],<0.001,21%,1%
100,Qwen,Qwen1.5-110B-Chat (superforecaster with news 3),0.219,0.195,0.129,0.147,0.207,0.183,[0.164 0.202],<0.001,20%,6%
101,Anthropic,Claude-2.1 (zero shot),0.22,0.241,0.112,0.147,0.231,0.184,[0.164 0.204],<0.001,19%,0%
102,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),0.252,0.185,0.09,0.116,0.219,0.184,[0.16  0.208],<0.001,29%,22%
103,Mistral AI,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),0.233,0.178,0.12,0.136,0.206,0.184,[0.166 0.203],<0.001,23%,1%
104,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),0.241,0.159,0.118,0.129,0.2,0.185,[0.16 0.21],<0.001,27%,15%
105,Anthropic,Claude-2.1 (superforecaster with news 3),0.223,0.142,0.15,0.148,0.183,0.185,[0.164 0.206],<0.001,22%,5%
106,Meta,Llama-3-8b-Chat-Hf (scratchpad),0.222,0.227,0.119,0.149,0.225,0.185,[0.169 0.202],<0.001,22%,0%
107,Mistral AI,Mistral-Large-Latest (superforecaster with news 3),0.231,0.149,0.139,0.141,0.19,0.186,[0.167 0.206],<0.001,20%,7%
108,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with freeze values),0.202,0.2,0.164,0.174,0.201,0.188,[0.16  0.215],<0.001,24%,11%
109,Meta,Llama-2-70b-Chat-Hf (zero shot with freeze values),0.228,0.191,0.133,0.149,0.209,0.188,[0.163 0.213],<0.001,24%,0%
110,OpenAI,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),0.223,0.184,0.143,0.154,0.204,0.189,[0.164 0.213],<0.001,24%,1%
111,Google,Gemini-1.5-Flash (superforecaster with news 2),0.219,0.207,0.146,0.163,0.213,0.191,[0.166 0.216],<0.001,20%,0%
112,Meta,Llama-2-70b-Chat-Hf (scratchpad with freeze values),0.221,0.254,0.127,0.162,0.237,0.191,[0.175 0.207],<0.001,23%,0%
113,Qwen,Qwen1.5-110B-Chat (superforecaster with news 2),0.224,0.218,0.14,0.161,0.221,0.193,[0.172 0.213],<0.001,22%,3%
114,Google,Gemini-1.5-Flash (superforecaster with news 3),0.236,0.17,0.141,0.149,0.203,0.193,[0.171 0.215],<0.001,19%,9%
115,Google,Gemini-1.5-Pro (superforecaster with news 2),0.227,0.237,0.138,0.165,0.232,0.196,[0.167 0.224],<0.001,21%,0%
116,Google,Gemini-1.5-Flash (superforecaster with news 1),0.225,0.265,0.13,0.167,0.245,0.196,[0.168 0.223],<0.001,23%,0%
117,Anthropic,Claude-3-Haiku-20240307 (scratchpad with freeze values),0.237,0.195,0.142,0.156,0.216,0.197,[0.179 0.215],<0.001,21%,0%
118,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 2),0.235,0.182,0.153,0.161,0.209,0.198,[0.18  0.216],<0.001,20%,0%
119,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),0.246,0.135,0.159,0.153,0.191,0.199,[0.178 0.221],<0.001,24%,13%
120,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news with freeze values),0.294,0.14,0.093,0.106,0.217,0.2,[0.18 0.22],<0.001,24%,13%
121,Anthropic,Claude-3-Haiku-20240307 (zero shot with freeze values),0.292,0.156,0.092,0.11,0.224,0.201,[0.183 0.218],<0.001,21%,0%
122,Anthropic,Claude-3-Haiku-20240307 (scratchpad),0.237,0.211,0.148,0.165,0.224,0.201,[0.184 0.219],<0.001,21%,0%
123,Anthropic,Claude-2.1 (superforecaster with news 2),0.239,0.195,0.161,0.17,0.217,0.204,[0.18  0.229],<0.001,24%,11%
124,Meta,Llama-2-70b-Chat-Hf (scratchpad),0.221,0.283,0.154,0.19,0.252,0.205,[0.186 0.224],<0.001,22%,0%
125,OpenAI,GPT-3.5-Turbo-0125 (scratchpad with freeze values),0.254,0.256,0.133,0.166,0.255,0.21,[0.191 0.229],<0.001,21%,0%
126,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news with freeze values),0.271,0.177,0.139,0.149,0.224,0.21,[0.193 0.227],<0.001,22%,0%
127,Anthropic,Claude-2.1 (superforecaster with news 1),0.263,0.227,0.131,0.157,0.245,0.21,[0.187 0.234],<0.001,23%,4%
128,Anthropic,Claude-3-Haiku-20240307 (scratchpad with news),0.271,0.187,0.142,0.154,0.229,0.213,[0.196 0.229],<0.001,20%,0%
129,Mistral AI,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),0.294,0.158,0.13,0.138,0.226,0.216,[0.192 0.24 ],<0.001,24%,13%
130,OpenAI,GPT-3.5-Turbo-0125 (scratchpad),0.254,0.273,0.144,0.179,0.263,0.216,[0.197 0.236],<0.001,20%,0%
131,ForecastBench,Always 0.5,0.25,0.25,0.16,0.184,0.25,0.217,[0.207 0.227],<0.001,16%,0%
132,Anthropic,Claude-3-Haiku-20240307 (zero shot),0.292,0.192,0.128,0.145,0.242,0.218,[0.2   0.237],<0.001,19%,0%
133,Meta,Llama-2-70b-Chat-Hf (zero shot),0.228,0.288,0.198,0.222,0.258,0.225,[0.198 0.251],<0.001,23%,1%
134,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 3),0.266,0.202,0.182,0.188,0.234,0.227,[0.208 0.245],<0.001,18%,22%
135,Anthropic,Claude-3-Haiku-20240307 (superforecaster with news 1),0.278,0.264,0.181,0.204,0.271,0.241,[0.216 0.266],<0.001,22%,0%
136,OpenAI,GPT-3.5-Turbo-0125 (zero shot with freeze values),0.408,0.123,0.108,0.112,0.265,0.26,[0.231 0.288],<0.001,30%,0%
137,ForecastBench,Always 0,0.345,0.333,0.22,0.251,0.339,0.298,[0.247 0.349],<0.001,34%,0%
138,OpenAI,GPT-3.5-Turbo-0125 (zero shot),0.408,0.27,0.179,0.204,0.339,0.306,[0.276 0.336],<0.001,22%,0%
139,ForecastBench,Random Uniform,0.343,0.29,0.262,0.269,0.317,0.306,[0.273 0.34 ],<0.001,20%,0%
140,ForecastBench,Always 1,0.655,0.667,0.6,0.618,0.661,0.637,[0.582 0.691],<0.001,25%,0%
