Rank,Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Market,N market,Market 95% CI,Overall,N,Overall 95% CI,Supers > Forecaster?,p-val Supers > Forecaster?,Forecaster > Public?,p-val Forecaster > Public?,Pct times № 1,Pct times top 5%,Peer,BSS,Brier Dataset,Brier Market,Brier Overall
46,ForecastBench,OpenAI,gpt-5-nano-2025-08-07,57.3,12449,"[56.9, 57.6]",61.5,1518,"[60.2, 62.9]",59.3,13967,"[58.6, 60.0]",Yes,<0.001,No,1.00,0.0,0.0,0.034,0.0,0.183,0.148,0.165
48,ForecastBench,OpenAI,o3-mini-2025-01-31,58.8,5803,"[58.5, 59.2]",59.5,367,"[57.9, 61.0]",59.2,6170,"[58.4, 60.0]",Yes,<0.001,No,1.00,0.0,0.0,0.04,0.019,0.169,0.164,0.167
49,ForecastBench,Anthropic,claude-3-5-sonnet-20240620-scratchpad,58.5,16581,"[58.2, 58.7]",59.8,1157,"[58.8, 60.8]",59.1,17738,"[58.6, 59.6]",Yes,<0.001,No,1.00,0.0,0.0,0.046,0.014,0.172,0.162,0.167
49,ForecastBench,OpenAI,gpt-4-turbo-2024-04-09,57.8,7068,"[57.5, 58.2]",60.5,507,"[59.1, 61.9]",59.1,7575,"[58.5, 59.8]",Yes,<0.001,No,1.00,0.0,0.0,0.047,0.013,0.178,0.156,0.167
49,ForecastBench,OpenAI,gpt-5.4-2026-03-05,59.6,2053,"[59.0, 60.2]",58.6,409,"[56.5, 61.0]",59.1,2462,"[58.0, 60.3]",Yes,<0.001,No,1.00,0.0,0.0,0.027,-0.011,0.163,0.171,0.167
49,ForecastBench,Z.ai,glm-4.5-air-fp8-scratchpad,57.3,1128,"[56.4, 58.2]",61.1,88,"[58.3, 64.6]",59.1,1216,"[57.8, 60.8]",Yes,<0.001,No,0.99,0.0,0.2,0.039,0.008,0.183,0.151,0.167
53,ForecastBench,Anthropic,claude-sonnet-4-20250514-scratchpad,57.7,2269,"[57.1, 58.3]",60.4,183,"[58.6, 62.3]",59.0,2452,"[58.1, 60.0]",Yes,<0.001,No,1.00,0.0,0.0,0.048,0.006,0.179,0.157,0.168
54,ForecastBench,Anthropic,claude-3-5-sonnet-20240620,58.6,17696,"[58.3, 58.8]",59.3,1257,"[58.2, 60.5]",58.9,18953,"[58.4, 59.5]",Yes,<0.001,No,1.00,0.0,0.0,0.045,0.012,0.172,0.165,0.169
54,ForecastBench,Google DeepMind,gemini-2.5-flash,58.5,6766,"[58.1, 59.0]",59.3,681,"[57.5, 61.1]",58.9,7447,"[58.0, 59.8]",Yes,<0.001,No,1.00,0.0,0.0,0.033,0.001,0.172,0.166,0.169
54,ForecastBench,Google DeepMind,gemini-1.5-pro-scratchpad,57.7,1384,"[57.0, 58.5]",60.1,123,"[56.8, 63.2]",58.9,1507,"[57.2, 60.4]",Yes,<0.001,No,1.00,0.0,0.0,0.05,0.014,0.179,0.159,0.169
57,ForecastBench,DeepSeek,deepseek-v3-scratchpad,58.7,7244,"[58.4, 59.1]",58.9,467,"[57.6, 60.2]",58.8,7711,"[58.2, 59.5]",Yes,<0.001,No,1.00,0.0,0.0,0.04,0.015,0.17,0.169,0.17
58,ForecastBench,Anthropic,claude-3-7-sonnet-20250219,59.3,16462,"[59.1, 59.5]",57.9,1307,"[56.7, 59.0]",58.6,17769,"[57.9, 59.1]",Yes,<0.001,No,1.00,0.0,0.0,0.033,0.007,0.166,0.178,0.172
59,ForecastBench,ForecastBench,Naive Forecaster,48.0,29017,"[47.8, 48.3]",72.6,2685,"[71.5, 73.6]",58.4,31702,"[58.1, 58.8]",Yes,<0.001,No,1.00,0.0,0.0,0.034,0.0,0.27,0.075,0.173
59,ForecastBench,Moonshot AI,kimi-k2-instruct,57.6,5284,"[57.2, 58.1]",59.1,499,"[57.4, 60.9]",58.4,5783,"[57.5, 59.3]",Yes,<0.001,No,1.00,0.0,0.0,0.04,-0.003,0.179,0.167,0.173
61,ForecastBench,Meta,llama-3.3-70b-instruct-turbo,55.1,10094,"[54.8, 55.5]",61.8,654,"[60.5, 63.1]",58.3,10748,"[57.7, 58.9]",Yes,<0.001,No,1.00,0.0,0.0,0.034,0.012,0.202,0.146,0.174
62,ForecastBench,OpenAI,gpt-5.1-2025-11-13,58.3,8929,"[58.0, 58.7]",58.0,1124,"[56.6, 59.5]",58.2,10053,"[57.5, 58.9]",Yes,<0.001,No,1.00,0.0,0.0,0.024,-0.009,0.173,0.176,0.175
62,ForecastBench,Meta,llama-3-8b-chat-hf,55.0,2797,"[54.3, 55.7]",61.7,218,"[58.6, 65.2]",58.2,3015,"[56.7, 59.8]",Yes,<0.001,No,1.00,0.0,0.0,0.045,0.0,0.203,0.147,0.175
64,ForecastBench,DeepSeek,deepseek-v3,57.3,7244,"[57.0, 57.6]",59.0,467,"[57.7, 60.3]",58.1,7711,"[57.5, 58.8]",Yes,<0.001,No,1.00,0.0,0.0,0.035,0.01,0.182,0.168,0.175
64,ForecastBench,Anthropic,claude-3-opus-20240229,58.3,7068,"[57.9, 58.7]",57.9,507,"[56.3, 59.4]",58.1,7575,"[57.3, 58.8]",Yes,<0.001,No,1.00,0.0,0.0,0.039,0.005,0.174,0.177,0.176
64,ForecastBench,Qwen,qwq-32b-preview-scratchpad,56.7,4360,"[56.1, 57.3]",59.5,275,"[58.0, 61.1]",58.1,4635,"[57.3, 58.9]",Yes,<0.001,No,1.00,0.0,0.0,0.029,0.01,0.187,0.164,0.176
67,ForecastBench,DeepSeek,deepseek-v3.1,57.6,11321,"[57.3, 57.9]",58.3,1430,"[57.1, 59.6]",57.9,12751,"[57.3, 58.6]",Yes,<0.001,No,1.00,0.0,0.0,0.022,-0.012,0.18,0.174,0.177
67,ForecastBench,OpenAI,o3-mini-2025-01-31-scratchpad,58.7,5803,"[58.3, 59.1]",57.1,367,"[55.8, 58.4]",57.9,6170,"[57.2, 58.6]",Yes,<0.001,No,1.00,0.0,0.0,0.029,0.009,0.171,0.184,0.177
69,ForecastBench,OpenAI,gpt-5.4-mini-2026-03-17,57.4,2053,"[56.7, 58.0]",57.9,409,"[55.3, 60.4]",57.7,2462,"[56.4, 58.9]",Yes,<0.001,No,1.00,0.0,0.0,0.015,-0.023,0.182,0.177,0.179
70,ForecastBench,OpenAI,gpt-4-0613-scratchpad,56.0,1384,"[55.2, 56.7]",59.0,123,"[56.4, 61.9]",57.5,1507,"[56.1, 58.8]",Yes,<0.001,No,1.00,0.0,0.0,0.038,0.002,0.194,0.168,0.181
71,ForecastBench,OpenAI,gpt-4o-2024-05-13,55.5,11428,"[55.1, 55.8]",59.4,782,"[58.2, 60.7]",57.4,12210,"[56.8, 58.0]",Yes,<0.001,No,1.00,0.0,0.0,0.029,0.001,0.198,0.164,0.181
71,ForecastBench,OpenAI,gpt-5.4-nano-2026-03-17,56.2,2053,"[55.6, 56.9]",58.6,409,"[56.1, 61.2]",57.4,2462,"[56.1, 58.7]",Yes,<0.001,No,1.00,0.0,0.0,0.012,-0.026,0.192,0.172,0.182
71,ForecastBench,Qwen,qwen1.5-110b-chat-scratchpad,56.8,1384,"[56.0, 57.5]",57.9,123,"[55.6, 60.5]",57.4,1507,"[56.1, 58.6]",Yes,<0.001,No,1.00,0.0,0.0,0.037,0.001,0.187,0.177,0.182
74,ForecastBench,Meta,llama-3.3-70b-instruct-turbo-scratchpad,56.7,10094,"[56.4, 56.9]",57.9,654,"[56.9, 59.0]",57.3,10748,"[56.7, 57.8]",Yes,<0.001,No,1.00,0.0,0.0,0.025,0.004,0.188,0.177,0.182
74,ForecastBench,Meta,llama-4-maverick-17b-128e-instruct-fp8-scratchpad,57.0,5759,"[56.7, 57.4]",57.5,373,"[56.3, 58.8]",57.3,6132,"[56.6, 57.9]",Yes,<0.001,No,1.00,0.0,0.0,0.019,0.004,0.185,0.181,0.183
74,ForecastBench,Meta,meta-llama-3.1-405b-instruct-turbo-scratchpad,57.4,2850,"[57.1, 57.8]",57.2,187,"[55.5, 59.0]",57.3,3037,"[56.4, 58.2]",Yes,<0.001,No,1.00,0.0,0.0,0.02,0.007,0.181,0.183,0.182
77,ForecastBench,Meta,llama-4-scout-17b-16e-instruct,53.6,6900,"[53.2, 54.0]",61.1,468,"[59.8, 62.4]",57.2,7368,"[56.6, 57.8]",Yes,<0.001,No,1.00,0.0,0.0,0.023,0.001,0.215,0.151,0.183
77,ForecastBench,Z.ai,glm-4.5-air-fp8,56.4,3028,"[55.8, 57.0]",58.0,304,"[56.2, 59.9]",57.2,3332,"[56.2, 58.2]",Yes,<0.001,No,1.00,0.0,0.0,0.02,-0.014,0.19,0.176,0.183
77,ForecastBench,Qwen,qwen2.5-72b-instruct-turbo,56.4,2850,"[55.8, 56.9]",58.0,187,"[56.0, 60.1]",57.2,3037,"[56.2, 58.2]",Yes,<0.001,No,1.00,0.0,0.0,0.018,0.006,0.19,0.176,0.183
80,ForecastBench,OpenAI,gpt-4-turbo-2024-04-09-scratchpad,56.7,7068,"[56.3, 57.0]",57.5,507,"[56.1, 58.9]",57.1,7575,"[56.4, 57.8]",Yes,<0.001,No,1.00,0.0,0.0,0.03,-0.004,0.188,0.181,0.184
81,ForecastBench,OpenAI,gpt-4o-2024-05-13-scratchpad,55.1,11428,"[54.8, 55.4]",59.1,782,"[57.9, 60.1]",57.0,12210,"[56.5, 57.6]",Yes,<0.001,No,1.00,0.0,0.0,0.026,-0.002,0.202,0.167,0.185
82,ForecastBench,Meta,llama-3-70b-chat-hf,55.2,4218,"[54.7, 55.7]",58.7,320,"[57.1, 60.4]",56.9,4538,"[56.1, 57.8]",Yes,<0.001,No,1.00,0.0,0.0,0.037,-0.011,0.201,0.17,0.186
83,ForecastBench,Mistral AI,mistral-large-2407,56.0,10044,"[55.7, 56.3]",57.5,659,"[56.3, 58.9]",56.8,10703,"[56.1, 57.5]",Yes,<0.001,No,1.00,0.0,0.0,0.023,-0.005,0.194,0.18,0.187
83,ForecastBench,Mistral AI,mistral-large-2411,55.5,3384,"[55.0, 56.0]",58.1,283,"[56.2, 60.0]",56.8,3667,"[55.9, 57.7]",Yes,<0.001,No,1.00,0.0,0.0,0.034,-0.014,0.198,0.176,0.187
83,ForecastBench,Google DeepMind,gemini-2.0-flash-lite-001-scratchpad,56.7,2888,"[56.0, 57.3]",56.9,182,"[55.2, 58.6]",56.8,3070,"[55.9, 57.7]",Yes,<0.001,No,1.00,0.0,0.0,0.022,0.005,0.188,0.186,0.187
86,ForecastBench,Anthropic,claude-3-opus-20240229-scratchpad,57.1,7068,"[56.7, 57.5]",56.1,507,"[54.7, 57.4]",56.6,7575,"[55.9, 57.3]",Yes,<0.001,No,1.00,0.0,0.0,0.026,-0.008,0.184,0.193,0.188
87,ForecastBench,Mistral AI,mistral-large-latest-scratchpad,55.9,1384,"[55.2, 56.7]",57.0,123,"[54.3, 59.9]",56.4,1507,"[55.1, 58.0]",Yes,<0.001,No,1.00,0.0,0.0,0.029,-0.007,0.194,0.185,0.19
88,ForecastBench,OpenAI,gpt-4-0613,56.2,1384,"[55.4, 57.0]",56.4,123,"[53.7, 59.2]",56.3,1507,"[54.9, 57.8]",Yes,<0.001,No,1.00,0.0,0.0,0.028,-0.008,0.192,0.19,0.191
89,ForecastBench,Meta,llama-4-scout-17b-16e-instruct-scratchpad,53.4,4319,"[53.1, 53.8]",58.9,282,"[57.5, 60.3]",56.1,4601,"[55.4, 56.8]",Yes,<0.001,No,1.00,0.0,0.0,0.009,-0.009,0.217,0.169,0.193
90,ForecastBench,xAI,grok-4.20-0309-non-reasoning,58.3,976,"[57.4, 59.1]",53.8,186,"[50.4, 57.4]",56.0,1162,"[54.1, 57.9]",Yes,<0.001,No,1.00,0.0,0.0,0.003,-0.032,0.174,0.214,0.194
91,ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1-scratchpad,55.1,1384,"[54.4, 55.9]",56.7,123,"[54.3, 59.3]",55.9,1507,"[54.7, 57.2]",Yes,<0.001,No,1.00,0.0,0.0,0.024,-0.011,0.201,0.188,0.194
91,ForecastBench,Mistral AI,mixtral-8x7b-instruct-v0.1,53.4,1384,"[52.2, 54.6]",58.6,123,"[54.8, 62.8]",55.9,1507,"[54.0, 57.9]",Yes,<0.001,No,1.00,0.0,0.0,0.024,-0.011,0.218,0.171,0.194
91,ForecastBench,Qwen,qwen1.5-110b-chat,55.3,1384,"[54.5, 56.0]",56.6,123,"[53.8, 59.5]",55.9,1507,"[54.5, 57.4]",Yes,<0.001,No,1.00,0.0,0.0,0.025,-0.011,0.2,0.188,0.194
94,ForecastBench,Mistral AI,mistral-large-latest,54.5,1384,"[53.6, 55.5]",57.2,123,"[54.0, 60.6]",55.8,1507,"[54.2, 57.5]",Yes,<0.001,No,1.00,0.0,0.0,0.024,-0.012,0.207,0.183,0.195
95,ForecastBench,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",50.8,1384,"[50.2, 51.4]",61.3,123,"[59.4, 63.2]",55.7,1507,"[54.8, 56.6]",Yes,<0.001,No,1.00,0.0,0.0,0.023,-0.013,0.242,0.149,0.196
95,ForecastBench,Google DeepMind,gemini-1.5-pro,55.2,1384,"[54.4, 56.1]",56.1,123,"[53.3, 59.3]",55.7,1507,"[54.2, 57.3]",Yes,<0.001,No,1.00,0.0,0.0,0.022,-0.013,0.2,0.193,0.196
97,ForecastBench,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",50.7,1384,"[50.1, 51.4]",61.0,123,"[59.0, 62.9]",55.5,1507,"[54.6, 56.5]",Yes,<0.001,No,1.00,0.0,0.0,0.021,-0.015,0.243,0.152,0.198
97,ForecastBench,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",50.8,1384,"[50.1, 51.4]",60.9,123,"[58.8, 62.9]",55.5,1507,"[54.5, 56.5]",Yes,<0.001,No,1.00,0.0,0.0,0.021,-0.015,0.243,0.153,0.198
99,ForecastBench,Google DeepMind,gemini-2.0-flash-lite-001,52.7,2888,"[52.0, 53.5]",57.7,182,"[55.3, 60.2]",55.1,3070,"[53.9, 56.3]",Yes,<0.001,No,1.00,0.0,0.0,0.007,-0.01,0.224,0.179,0.201
99,ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1,54.1,1384,"[53.3, 54.9]",56.1,123,"[53.0, 59.4]",55.1,1507,"[53.5, 56.7]",Yes,<0.001,No,1.00,0.0,0.0,0.017,-0.019,0.211,0.193,0.202
101,ForecastBench,Mistral AI,mistral-large-2407-scratchpad,55.0,5770,"[54.6, 55.4]",54.6,371,"[53.3, 55.9]",54.8,6141,"[54.1, 55.5]",Yes,<0.001,No,1.00,0.0,0.0,-0.001,-0.019,0.203,0.206,0.204
101,ForecastBench,Google DeepMind,gemini-3.1-flash-lite-preview,59.5,2053,"[58.9, 60.0]",50.6,409,"[48.0, 53.2]",54.8,2462,"[53.3, 56.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.01,-0.048,0.164,0.244,0.204
101,ForecastBench,Google DeepMind,gemini-1.5-flash-scratchpad,53.4,1384,"[52.3, 54.4]",56.3,123,"[53.7, 59.0]",54.8,1507,"[53.4, 56.2]",Yes,<0.001,No,1.00,0.0,0.0,0.015,-0.021,0.217,0.191,0.204
104,ForecastBench,xAI,grok-4.20-beta-0309-non-reasoning,55.6,1077,"[55.1, 56.2]",53.5,223,"[50.2, 56.9]",54.5,1300,"[52.8, 56.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.015,-0.056,0.197,0.216,0.207
